train_loss,train_accuracy,test_loss,test_accuracy,long_loss,long_accuracy
0.07168839,0.3545344,0.06585639,0.36434376,0.06656212,0.34378436
0.065670244,0.36602813,0.06567674,0.36076564,0.066495806,0.34318435
0.06555761,0.36460155,0.06587334,0.35856253,0.06647901,0.34536248
0.06549799,0.36697346,0.0653868,0.36221877,0.06630748,0.3497875
0.06538408,0.36696243,0.06548411,0.36251563,0.06619707,0.35081562
0.06537166,0.36546248,0.06531234,0.36564064,0.06625391,0.341575
0.06525102,0.36542186,0.06520903,0.36879689,0.066236675,0.34709686
0.06516256,0.3675094,0.06517382,0.36745313,0.06627476,0.34816873
0.065160386,0.3672469,0.06541021,0.3769844,0.066421926,0.34842813
0.065066755,0.36635315,0.06509837,0.36559376,0.06611273,0.34512186
0.06490476,0.36682186,0.064922474,0.36721876,0.06605758,0.34527186
0.06465736,0.36667344,0.064564966,0.365875,0.066052854,0.34551874
0.06451398,0.36567965,0.06443396,0.36534378,0.065982305,0.3444656
0.064356804,0.3643172,0.06441491,0.35693753,0.06589744,0.35120624
0.064104736,0.363136,0.06399411,0.35868752,0.065787494,0.34634686
0.06390746,0.36050156,0.06394062,0.3566094,0.06573717,0.34572813
0.063728094,0.36290792,0.06356881,0.35462502,0.06566803,0.346275
0.06344173,0.37231708,0.06350421,0.3654375,0.065825544,0.34595937
0.063282356,0.37934846,0.06308793,0.3676719,0.065593764,0.34564373
0.06302214,0.38984066,0.06293689,0.36576563,0.065515965,0.3527531
0.06265886,0.40416414,0.062410276,0.41382813,0.06534481,0.35869062
0.06236282,0.4088375,0.06254743,0.39171878,0.065769,0.353
0.062187586,0.4142547,0.06184775,0.4190469,0.06526905,0.36319062
0.06182827,0.41969684,0.06160507,0.418875,0.0649345,0.36261562
0.061386332,0.42293906,0.061411396,0.41993752,0.06507969,0.36902186
0.061115883,0.42792025,0.061249014,0.4209375,0.06448197,0.3756125
0.060630187,0.4259672,0.060427148,0.43335938,0.06415704,0.37401563
0.060285375,0.4314845,0.060195193,0.42310938,0.06416027,0.37406248
0.060243536,0.42815626,0.059969783,0.43190628,0.06382068,0.37880623
0.060020518,0.4287906,0.059704725,0.42737502,0.06396821,0.3751656
0.059753846,0.4311672,0.059465997,0.43268752,0.06365114,0.3777531
0.059546005,0.43403432,0.059480082,0.43746877,0.06391044,0.37783438
0.05942214,0.4351516,0.059094153,0.43428126,0.06352956,0.3830156
0.059207,0.4368719,0.059059966,0.43696877,0.063370995,0.38467187
0.059097566,0.43645468,0.059029225,0.43470314,0.0638972,0.37948748
0.058870096,0.44251248,0.058915447,0.43293753,0.063589446,0.37639686
0.05877726,0.4413578,0.05887381,0.44326565,0.06331136,0.37989375
0.058668427,0.44358757,0.058792125,0.4449844,0.0634542,0.37845623
0.05846853,0.44821724,0.058257584,0.45251563,0.06333089,0.384725
0.05823328,0.4532281,0.057956994,0.45459378,0.06356167,0.3849906
0.05801721,0.45889843,0.05793597,0.4566094,0.063166596,0.39273438
0.05764108,0.4611375,0.05734347,0.46401563,0.06361174,0.3947406
0.057267174,0.4662266,0.056774084,0.46712503,0.0643029,0.3938875
0.05640694,0.47420463,0.05612655,0.47614065,0.06351816,0.40162498
0.05613548,0.47446725,0.05584449,0.47037503,0.06267575,0.40230313
0.055584036,0.48160005,0.05594515,0.47020316,0.06236782,0.40170625
0.055106703,0.48810628,0.055287115,0.48250002,0.061514586,0.41274688
0.05483447,0.48983133,0.0549302,0.47581252,0.061299134,0.40321562
0.054335147,0.49487033,0.054111153,0.49551564,0.060992677,0.41313124
0.054051258,0.500036,0.05381588,0.49443752,0.060692713,0.413
0.053631134,0.50305456,0.053452034,0.49576566,0.06079373,0.4137156
0.05320095,0.50918597,0.05301204,0.50257814,0.060613703,0.42124373
0.05274008,0.5150469,0.052372277,0.51589066,0.0603133,0.425625
0.05226333,0.5234922,0.052377943,0.52043754,0.060263623,0.4316531
0.051382195,0.53126097,0.051361695,0.5349844,0.05906321,0.43943435
0.050851326,0.54275316,0.05063238,0.5435,0.05859185,0.4466406
0.050282273,0.54716253,0.050713904,0.5413594,0.060045306,0.427225
0.050551463,0.5431702,0.050518543,0.54785943,0.059424613,0.43284687
0.049451467,0.55406404,0.048289873,0.55815625,0.057620596,0.45072812
0.048062965,0.5634766,0.047708873,0.5690157,0.057504103,0.44836873
0.047350574,0.5682344,0.047923453,0.56057817,0.058021124,0.44160935
0.046954032,0.5738547,0.0466042,0.5712344,0.057029046,0.4548906
0.046143178,0.5764969,0.04638815,0.56975,0.057517353,0.450525
0.045592703,0.5826141,0.045867722,0.5737344,0.057712343,0.4427
0.045021415,0.5877563,0.04504199,0.57956254,0.05629814,0.45665938
0.044651356,0.59539217,0.044539165,0.6007032,0.055915944,0.46477187
0.0439739,0.6026296,0.043484136,0.6070469,0.05540312,0.46997187
0.043960284,0.6045703,0.043332674,0.60915625,0.05582837,0.4675281
0.042820774,0.6141282,0.04282423,0.61525005,0.0549253,0.47529998
0.042367186,0.6205062,0.04279761,0.61612505,0.055424783,0.47059375
0.043729838,0.61192816,0.041980073,0.6163438,0.055092838,0.47099686
0.041657157,0.6251922,0.041796204,0.6235313,0.054473244,0.48068124
0.041324664,0.6287062,0.041488744,0.62514067,0.05413799,0.47951874
0.041024942,0.6293735,0.04214358,0.6204532,0.055237524,0.47535
0.040748376,0.6324453,0.041026734,0.6242344,0.05426317,0.4819375
0.040295742,0.635475,0.04034597,0.63278127,0.053678542,0.4835375
0.039953806,0.63487506,0.040121157,0.6257969,0.053949825,0.47950935
0.03990723,0.6379766,0.039877947,0.6326875,0.054134298,0.481975
0.03951229,0.64141256,0.039844014,0.63379693,0.05450817,0.47536874
0.03923678,0.6414093,0.039220434,0.6355313,0.05341731,0.48172185
0.038881674,0.6446798,0.039450254,0.6392813,0.053454325,0.48278123
0.038992736,0.6450577,0.03879486,0.6442344,0.05318493,0.48505312
0.03851885,0.6490125,0.039207876,0.6421719,0.05387304,0.4789406
0.038232807,0.65337026,0.038342375,0.6439219,0.053048525,0.482575
0.038056735,0.6560609,0.038229022,0.65239066,0.052595716,0.4872625
0.03779225,0.6593954,0.038186524,0.6574375,0.05285932,0.49085623
0.037543386,0.6631235,0.037859306,0.6566719,0.052396,0.48990625
0.037462752,0.6684843,0.038093224,0.66462505,0.05254076,0.49194998
0.036944363,0.6723249,0.037093185,0.66668755,0.052228455,0.49566248
0.036710735,0.6759875,0.037306074,0.66632813,0.052194953,0.49313125
0.036407445,0.68039995,0.036571383,0.6746719,0.0519423,0.49422812
0.036179934,0.6840469,0.03703723,0.66950005,0.052207973,0.503625
0.03595116,0.68369216,0.03621996,0.6809219,0.051830698,0.5015531
0.03561443,0.68558127,0.035816442,0.6862188,0.052358445,0.49674687
0.03510094,0.6885452,0.035450317,0.68401563,0.054614708,0.49093124
0.034944758,0.69193757,0.035199825,0.69128126,0.05151761,0.51106876
0.03458115,0.69501555,0.034854785,0.6869532,0.05175724,0.505175
0.03403353,0.70202357,0.034229822,0.69362503,0.05103823,0.50729376
0.0338117,0.7048813,0.034277324,0.7024219,0.05141179,0.51226246
0.033207845,0.70861554,0.03332872,0.7080625,0.05086844,0.5147531
0.03275934,0.7133234,0.033497885,0.7102969,0.051291395,0.5179344
0.036945064,0.68823904,0.066190116,0.43193752,0.07348377,0.310725
0.061147362,0.464264,0.05594685,0.4809375,0.06409911,0.37093124
0.05011307,0.5565125,0.043087687,0.6359531,0.05849234,0.45358124
0.03904618,0.6800218,0.036751438,0.6999375,0.0546088,0.49164373
0.03561307,0.70970154,0.035447944,0.70026565,0.053379934,0.49971873
0.034352694,0.71594846,0.034197576,0.70957816,0.052363284,0.5065875
0.03357105,0.71905005,0.03328264,0.72139066,0.05195932,0.51386875
0.032733325,0.7276985,0.03242461,0.7331094,0.052389186,0.51431876
0.031902965,0.73595625,0.03145502,0.7435938,0.052805003,0.5168281
0.030773893,0.75011414,0.030123312,0.7571094,0.053463973,0.5261625
0.029511748,0.76723135,0.028589588,0.78595316,0.053131983,0.54358435
0.033095706,0.76338273,0.025043374,0.8327032,0.060422372,0.5316031
0.020459153,0.8784468,0.018186769,0.9023282,0.06127345,0.59397185
0.014319577,0.9359329,0.012864433,0.94954693,0.05912037,0.6877625
0.012812903,0.95288277,0.036372613,0.8057813,0.062277578,0.64559686
0.010911805,0.9677063,0.008655927,0.9795157,0.017002627,0.9303343
0.009981725,0.96802515,0.038652405,0.79079694,0.08090621,0.5557156
0.015048109,0.9457234,0.011053222,0.9662969,0.02228913,0.90079373
0.0052922987,0.9922249,0.004150822,0.99537504,0.005686817,0.98398745
0.010364796,0.96708274,0.0047537857,0.9932501,0.017113367,0.9179093
0.004275383,0.995,0.003939393,0.99523443,0.008030829,0.97283125
0.0031798435,0.9976843,0.0031929174,0.9964844,0.0043317676,0.9877312
0.0027914082,0.9978453,0.0025328202,0.99757814,0.007770494,0.9670375
0.002356557,0.99860305,0.0020399168,0.9999063,0.0032268413,0.99153125
0.0056436984,0.98568416,0.0069679283,0.98835945,0.011265586,0.9531812
0.0048263413,0.99005944,0.002349883,0.9990469,0.0067883283,0.97332495
0.006042663,0.9838096,0.008127786,0.9838594,0.023148308,0.8863437
0.006377225,0.98241407,0.0025044682,0.9997813,0.0016279765,0.9989906
0.002939953,0.99673754,0.0019271312,0.9996094,0.009296379,0.9584625
0.0017183853,0.99956566,0.0015450062,1.0,0.0021622027,0.99463123
0.0015594062,0.99958915,0.0014808606,1.0,0.0026956776,0.99118435
0.0015566386,0.9993562,0.005041389,0.98401564,0.0012116929,0.99999684
0.0020178058,0.99834687,0.0014923353,0.9999219,0.004569217,0.9819312
0.0013811262,0.9997719,0.001279399,0.9999219,0.002457347,0.99206245
0.007093425,0.9784983,0.014285319,0.94220316,0.058546055,0.7004
0.042496055,0.7626906,0.053949893,0.6044844,0.06814426,0.39900312
0.030053759,0.836189,0.012042622,0.95075005,0.04028009,0.7859687
0.011356855,0.95799524,0.010198918,0.96543753,0.028081544,0.85344374
0.011920464,0.9555843,0.0049672867,0.9919532,0.011265916,0.95024997
0.0023132272,0.9991798,0.0018128767,0.99910945,0.00758416,0.9674781
0.0017328222,0.9995469,0.0015711564,0.99993753,0.0062735076,0.9737531
0.0014300183,0.99987185,0.0012974404,1.0,0.01115524,0.9451156
0.0012842619,0.9998921,0.0012540051,1.0,0.0103875995,0.9500344
0.0011967331,0.99995935,0.0013419511,0.9988907,0.0063372273,0.9712031
0.0011619589,0.9999891,0.0011540743,1.0,0.0055763624,0.9750093
0.0011754383,0.9998531,0.001133563,0.99993753,0.0036925192,0.98487496
0.0011186855,0.99989533,0.0010896714,1.0,0.004378893,0.9811281
0.0010828914,0.9998578,0.0010719616,1.0,0.0034728968,0.98562187
0.0010358216,0.9998734,0.0010146139,1.0,0.0030692024,0.9878875
0.0009944651,0.99999845,0.0009716933,0.9999688,0.0029659737,0.98801875
0.0009837131,0.99995935,0.0009737921,1.0,0.0012004292,0.9972656
0.0010032788,0.9998781,0.00096717005,1.0,0.0025799407,0.99000937
0.00096922537,0.99991876,0.0009252421,1.0,0.0016479141,0.9946906
0.0009054484,0.99999845,0.0009301105,1.0,0.0021543305,0.99202186
0.00092078745,0.99990624,0.000970273,1.0,0.00194916,0.99298435
0.0009061583,0.9999984,0.0008896393,1.0,0.0021707644,0.9918562
0.00089535676,0.9999656,0.00097247725,1.0,0.0016380876,0.9945531
0.0008469593,1.0,0.0008537684,1.0,0.0014864489,0.9950625
0.00089934043,1.0,0.00084386574,1.0,0.0011006707,0.99697495
0.00082855485,1.0,0.0008045663,0.99998444,0.0015053067,0.9947906
0.0008078073,1.0,0.0008049599,1.0,0.0015252862,0.994625
0.0008048517,1.0,0.0009882298,1.0,0.0029941648,0.9876968
0.0008387588,0.99999374,0.0008051653,1.0,0.0012565166,0.9960656
0.0007935558,1.0,0.0007396109,1.0,0.002154286,0.9913906
0.00075129134,1.0,0.00074719836,0.9999063,0.0012685206,0.9958031
0.0007494171,0.9999953,0.00076973415,1.0,0.0012830435,0.9957718
0.00079712726,1.0,0.0007893092,1.0,0.0014967672,0.9946937
0.00074531266,1.0,0.0008876509,1.0,0.0012929356,0.99581873
0.00081428175,0.9998469,0.00075811695,1.0,0.0021150168,0.99143124
0.0007074242,0.99999845,0.0006958582,1.0,0.0012614654,0.9957781
0.0007225089,1.0,0.00080371904,0.99950004,0.00044234504,1.0
0.00080951134,1.0,0.00066562014,1.0,0.001249647,0.9956281
0.0006826067,1.0,0.0006736419,1.0,0.00078027917,0.9981344
0.0006859979,0.99989057,0.00065498246,1.0,0.0016252775,0.9936937
0.0006662439,1.0,0.0006397752,1.0,0.0009785626,0.9970375
0.0006326484,1.0,0.00061878853,1.0,0.0005795125,0.9990594
0.00066416094,0.9999969,0.0007130169,1.0,0.0005990049,0.9990656
0.0006713783,1.0,0.0006340989,1.0,0.0010087512,0.9967875
0.0006203345,1.0,0.00059603865,1.0,0.0005638061,0.9990656
0.0006422627,1.0,0.00063358457,1.0,0.0005908472,0.99880624
0.0006280903,1.0,0.0005873518,1.0,0.0005615949,0.9990594
0.00063212623,1.0,0.0005847473,1.0,0.0007324658,0.99808747
0.00060868537,1.0,0.0006244563,1.0,0.0005550189,0.9990625
0.000637217,1.0,0.00061596744,1.0,0.0009158501,0.9972031
0.00059196237,1.0,0.00057124457,1.0,0.00053840945,0.9990594
0.00059462653,1.0,0.00069115136,1.0,0.0009999854,0.9968718
0.00063369324,0.99979997,0.00055602484,1.0,0.0009828554,0.9965969
0.00057504704,1.0,0.00056580396,1.0,0.0005234568,0.99907184
0.0006126261,1.0,0.00058043865,1.0,0.0007279958,0.9980312
0.0005678873,1.0,0.0005703989,1.0,0.00073927315,0.997925
0.00055465364,1.0,0.0005398308,1.0,0.0009468537,0.9967687
0.00054931187,1.0,0.00053719943,1.0,0.0007117017,0.9980968
0.0005930315,1.0,0.0005338917,1.0,0.0005105374,0.9990406
0.0005488439,1.0,0.0005334904,1.0,0.00051690725,0.9990594
0.0005466852,1.0,0.00051281793,1.0,0.0005101195,0.9990562
0.0005473385,0.99990624,0.00052882975,1.0,0.0003180444,1.0
0.0005922739,1.0,0.0005507764,1.0,0.0005185591,0.9990562
0.00050234713,1.0,0.00048611182,1.0,0.0004810503,0.9990906
0.0005330773,1.0,0.0005092992,1.0,0.00049040397,0.99906874
0.0005437271,1.0,0.00053882244,1.0,0.00032251613,1.0
0.00054523745,1.0,0.0004940829,1.0,0.0005203575,0.99885935
0.00049840263,1.0,0.0005898687,1.0,0.00034115196,0.99997187
0.00050337135,1.0,0.00050613866,1.0,0.00030387295,1.0
0.00048729856,1.0,0.00046659415,1.0,0.00029760043,1.0
0.0004846773,1.0,0.00072572764,1.0,0.000490329,0.99939996
0.00051852467,1.0,0.0004639591,1.0,0.0002864029,1.0
0.00050480326,1.0,0.00045101982,1.0,0.00028190887,1.0
0.0004658292,1.0,0.00044466107,1.0,0.0002818716,1.0
0.00051483384,1.0,0.0004716098,1.0,0.00028266833,1.0
0.00049203855,1.0,0.00043561214,1.0,0.00027937742,1.0
0.0006145316,1.0,0.0005991478,1.0,0.0021488091,0.99099374
0.0004780334,1.0,0.00045737025,1.0,0.0004405491,0.99913436
0.00045976613,1.0,0.000443378,1.0,0.00028075132,1.0
0.00048276345,1.0,0.00048182788,1.0,0.00028916672,1.0
0.0004348899,1.0,0.00044429803,1.0,0.00027244564,1.0
0.00046082202,1.0,0.0004299849,1.0,0.00026929614,1.0
0.00044168468,1.0,0.00040994407,1.0,0.0002601015,1.0
0.000439378,1.0,0.00051077025,1.0,0.0002884934,1.0
0.00046907488,1.0,0.00058851566,1.0,0.00049353467,0.9990656
0.00042862396,1.0,0.00039507484,1.0,0.00025845598,1.0
0.00043289873,1.0,0.00039541197,1.0,0.00025347713,1.0
0.00045504692,1.0,0.0004618349,1.0,0.0004961247,0.9988656
0.00046396203,1.0,0.00041562144,1.0,0.00025521772,1.0
0.0004096146,1.0,0.00039404654,1.0,0.0002452376,1.0
0.00042723323,1.0,0.00042524879,1.0,0.00025598975,1.0
0.0004152681,1.0,0.0003801314,1.0,0.0002417187,1.0
0.0003921099,1.0,0.00040040552,1.0,0.0002485221,1.0
0.0004115798,1.0,0.0005780807,1.0,0.00030276357,1.0
0.0004161248,1.0,0.00046819754,1.0,0.00027025558,1.0
0.00038422827,1.0,0.00043033395,1.0,0.0002452597,1.0
0.00039889966,1.0,0.0004029969,1.0,0.00023887421,1.0
0.00040844572,1.0,0.00035629605,1.0,0.00021887003,1.0
0.000365426,1.0,0.00038191656,1.0,0.00023342346,1.0
0.00040412933,1.0,0.00038377353,1.0,0.00022585501,1.0
0.00039490365,1.0,0.0003448173,1.0,0.00022136181,1.0
0.00038941653,1.0,0.00034777494,1.0,0.00021490813,1.0
0.00037349344,1.0,0.00038226484,1.0,0.00022690478,1.0
0.00035997457,1.0,0.00036223742,1.0,0.00021711926,1.0
0.0003854152,1.0,0.00039016362,1.0,0.00023140162,1.0
0.00035651238,1.0,0.0003654401,1.0,0.00022267696,1.0
0.00038523716,1.0,0.00037207815,1.0,0.00021921223,1.0
0.0003307333,1.0,0.00032173278,1.0,0.00020254681,1.0
0.00042773216,1.0,0.0005358281,1.0,0.0005272675,0.99890935
0.0003929704,1.0,0.00036685885,1.0,0.00021416214,1.0
0.00035218324,1.0,0.00031648137,1.0,0.00019661685,1.0
0.00032191753,1.0,0.0004702886,1.0,0.00025281048,1.0
0.0003567709,1.0,0.00029992822,1.0,0.00018936863,1.0
0.00034795728,1.0,0.00035606313,1.0,0.0002119588,1.0
0.00033765743,1.0,0.00029806726,1.0,0.00019046615,1.0
0.00030529968,1.0,0.00031428714,1.0,0.0001955656,1.0
0.00036805985,1.0,0.00033990204,1.0,0.00020113398,1.0
0.00031194225,1.0,0.0003329606,1.0,0.00020049179,1.0
0.00035468268,1.0,0.0003353134,1.0,0.00019251647,1.0
0.00032280185,1.0,0.00033122502,1.0,0.00019668498,1.0
0.00032609116,1.0,0.00032925664,1.0,0.00019380073,1.0
0.000284593,1.0,0.00030019038,1.0,0.00018766969,1.0
0.0003000761,1.0,0.000399014,1.0,0.00021191026,1.0
0.0003465788,1.0,0.0002607783,1.0,0.00017290578,1.0
0.0002982666,1.0,0.0003214392,1.0,0.00018567474,1.0
0.000263998,1.0,0.00026767448,1.0,0.00017094857,1.0
